2025-04-15 21:10:48,568 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 21:10:48,569 - INFO - 当前评分模式: ['robust_zscore']
2025-04-15 21:10:48,569 - INFO - 
==================================================
2025-04-15 21:10:48,569 - INFO - 开始执行网格搜索...
2025-04-15 21:10:48,570 - INFO - [omi-1] Starting grid search...
2025-04-15 21:11:45,262 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=3.5, use_topk=True, P=0.7328, R=0.9551, F1=0.8293
2025-04-15 21:11:45,303 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=4.0, use_topk=True, P=0.7328, R=0.9551, F1=0.8293
2025-04-15 21:11:45,963 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=4.5, use_topk=True, P=0.7328, R=0.9551, F1=0.8293
2025-04-15 21:11:47,079 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=5.0, use_topk=True, P=0.7391, R=0.9551, F1=0.8333
2025-04-15 21:11:47,280 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=5.5, use_topk=True, P=0.7391, R=0.9551, F1=0.8333
2025-04-15 21:11:47,358 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=6.0, use_topk=True, P=0.7456, R=0.9551, F1=0.8374
2025-04-15 21:11:47,982 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=6.5, use_topk=True, P=0.7456, R=0.9551, F1=0.8374
2025-04-15 21:11:48,949 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=7.0, use_topk=True, P=0.7456, R=0.9551, F1=0.8374
2025-04-15 21:11:48,967 - INFO - [omi-10] Starting grid search...
2025-04-15 21:11:52,117 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=1.0, use_topk=True, P=0.5000, R=0.9180, F1=0.6474
2025-04-15 21:11:52,144 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=1.5, use_topk=True, P=0.5000, R=0.9180, F1=0.6474
2025-04-15 21:11:52,155 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=2.0, use_topk=True, P=0.5000, R=0.9180, F1=0.6474
