2025-04-17 17:42:03,944 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:42:03,944 - INFO - 当前评分模式: ['deviation']
2025-04-17 17:42:03,944 - INFO - 
==================================================
2025-04-17 17:42:03,945 - INFO - 开始执行网格搜索...
2025-04-17 17:42:03,948 - INFO - [els-1] Starting grid search...
2025-04-17 17:42:05,927 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.9, P=0.2918, R=0.4034, F1=0.3386
2025-04-17 17:42:05,928 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.0, P=0.2945, R=0.4034, F1=0.3404
2025-04-17 17:42:05,928 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.1, P=0.2945, R=0.4034, F1=0.3404
2025-04-17 17:42:05,930 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.2, P=0.2945, R=0.4034, F1=0.3404
2025-04-17 17:42:05,934 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.3, P=0.2888, R=0.3908, F1=0.3321
2025-04-17 17:42:05,944 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.4, P=0.2906, R=0.3908, F1=0.3333
2025-04-17 17:42:05,944 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.5, P=0.2871, R=0.3824, F1=0.3279
2025-04-17 17:42:06,025 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.6, P=0.2871, R=0.3824, F1=0.3279
2025-04-17 17:42:06,026 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.7, P=0.2880, R=0.3824, F1=0.3285
2025-04-17 17:42:06,069 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.8, P=0.2880, R=0.3824, F1=0.3285
2025-04-17 17:42:06,069 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=5.9, P=0.2880, R=0.3824, F1=0.3285
2025-04-17 17:42:06,070 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=6.0, P=0.2866, R=0.3782, F1=0.3261
2025-04-17 17:42:06,070 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=6.1, P=0.2821, R=0.3697, F1=0.3200
2025-04-17 17:42:06,070 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=6.2, P=0.2797, R=0.3655, F1=0.3169
2025-04-17 17:42:06,070 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=6.3, P=0.2806, R=0.3655, F1=0.3175
2025-04-17 17:42:06,070 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=6.4, P=0.2825, R=0.3655, F1=0.3187
